source;target;kind;labels;motivation
LCal2_AC;filter-0;functional-dependency;part-of;part of the node	
LCal2_AC;standard-filter;functional-dependency;part-of;part of the node					
LCal2_AC;blade-springs;functional-dependency;part-of;part of the node	
LCal2_AC;suspension-wires;functional-dependency;part-of;part of the node									
LCal2_AC;linear-accelerometers;functional-dependency;part-of;part of the node	
LCal2_AC;inertial-rotation;functional-dependency;part-of;part of the node		
LCal2_AC;optical-substrate;functional-dependency;part-of;part of the node	
LCal2_AC;Mu-metal-sheath;functional-dependency;part-of;part of the node		

LETM_AC;filter-0;functional-dependency;part-of;part of the node	
LETM_AC;standard-filter;functional-dependency;part-of;part of the node		
LETM_AC;inductive-s-a;functional-dependency;part-of;part of the node		
LETM_AC;low-noise-position-s-a;functional-dependency;part-of;part of the node		
LETM_AC;suspension-wires;functional-dependency;part-of;part of the node		
LETM_AC;TM-heads-anchors;functional-dependency;part-of;part of the node	
LETM_AC;TM-fibers;functional-dependency;part-of;part of the node	
LETM_AC;TM-interfaces-ears;functional-dependency;part-of;part of the node	
LETM_AC;active-vibration-isolator;functional-dependency;part-of;part of the node	
LETM_AC;inverted-pendulum;functional-dependency;part-of;part of the node	
LETM_AC;inductive;functional-dependency;part-of;part of the node	 
LETM_AC;low-noise-position;functional-dependency;part-of;part of the node           	
LETM_AC;linear-accelerometers;functional-dependency;part-of;part of the node	
LETM_AC;inertial-rotation;functional-dependency;part-of;part of the node	
LETM_AC;piezo-per-base-ring;functional-dependency;part-of;part of the node	
LETM_AC;optical-substrate;functional-dependency;part-of;part of the node	
LETM_AC;platform-vertical-anti-spring-system;functional-dependency;part-of;part of the node		
LETM_AC;soft-heat-links;functional-dependency;part-of;part of the node	
LETM_AC;ancillary-vibration-attenuator;functional-dependency;part-of;part of the node	
LETM_AC;payload-on-board-soft-thermal-links;functional-dependency;part-of;part of the node	
LETM_AC;cryocompatible-inductive-actuators;functional-dependency;part-of;part of the node	
LETM_AC;scattered-light-ITM-payload-baffles;functional-dependency;part-of;part of the node	
LETM_AC;penultimate-mass-cryogenic-suspension;functional-dependency;part-of;part of the node	
LETM_AC;cryocompatible-DC-tilt-motors;functional-dependency;part-of;part of the node				
LETM_AC;cryogenic-payload-safety-structure;functional-dependency;part-of;part of the node					
LETM_AC;rough-pumping-system;functional-dependency;part-of;part of the node	
LETM_AC;intermediate-pumping-system;functional-dependency;part-of;part of the node	
LETM_AC;continuous-pumping-system;functional-dependency;part-of;part of the node	
LETM_AC;cryostat-vessel;functional-dependency;part-of;part of the node	
LETM_AC;Mu-metal-sheath;functional-dependency;part-of;part of the node	
LETM_AC;cryosupply;functional-dependency;part-of;part of the node	
LETM_AC;thermal-shields;functional-dependency;part-of;part of the node		
LETM_AC;dust-monitoring-system;functional-dependency;part-of;part of the node	
LETM_AC;temperature-monitoring-system;functional-dependency;part-of;part of the node	
LETM_AC;vibration-monitoring-system;functional-dependency;part-of;part of the node	

cooling-LETM_AB-AS;filter-0;functional-dependency;part-of;part of the node	
cooling-LETM_AB-AS;standard-filter;functional-dependency;part-of;part of the node	
cooling-LETM_AB-AS;payload-interface-filter;functional-dependency;part-of;part of the node	
cooling-LETM_AB-AS;Mu-metal-sheath;functional-dependency;part-of;part of the node		
cooling-LETM_AB-AS;vessel-stray-light-baffle-system;functional-dependency;part-of;part of the node				
cooling-LETM_AB-AS;cryosupply-arm;functional-dependency;part-of;part of the node	
cooling-LETM_AB-AS;thermal-shields-arm;functional-dependency;part-of;part of the node	
cooling-LETM_AB-AS;cryopanels-arm;functional-dependency;part-of;part of the node	

cooling-LETM_AB-TS;filter-0;functional-dependency;part-of;part of the node	
cooling-LETM_AB-TS;standard-filter;functional-dependency;part-of;part of the node	
cooling-LETM_AB-TS;payload-interface-filter;functional-dependency;part-of;part of the node	
cooling-LETM_AB-TS;Mu-metal-sheath;functional-dependency;part-of;part of the node			
cooling-LETM_AB-TS;vessel-stray-light-baffle-system;functional-dependency;part-of;part of the node							
cooling-LETM_AB-TS;cryosupply-tower;functional-dependency;part-of;part of the node	
cooling-LETM_AB-TS;thermal-shields-tower;functional-dependency;part-of;part of the node
cooling-LETM_AB-TS;cryopanels-tower;functional-dependency;part-of;part of the node

cooling-LETM_AC-AS;filter-0;functional-dependency;part-of;part of the node	
cooling-LETM_AC-AS;standard-filter;functional-dependency;part-of;part of the node
cooling-LETM_AC-AS;payload-interface-filter;functional-dependency;part-of;part of the node
cooling-LETM_AC-AS;Mu-metal-sheath;functional-dependency;part-of;part of the node			
cooling-LETM_AC-AS;vessel-stray-light-baffle-system;functional-dependency;part-of;part of the node				
cooling-LETM_AC-AS;cryosupply-arm;functional-dependency;part-of;part of the node	
cooling-LETM_AC-AS;thermal-shields-arm;functional-dependency;part-of;part of the node	
cooling-LETM_AC-AS;cryopanels-arm;functional-dependency;part-of;part of the node	

cooling-LETM_AC-TS;filter-0;functional-dependency;part-of;part of the node	
cooling-LETM_AC-TS;standard-filter;functional-dependency;part-of;part of the node	
cooling-LETM_AC-TS;payload-interface-filter;functional-dependency;part-of;part of the node
cooling-LETM_AC-TS;Mu-metal-sheath;functional-dependency;part-of;part of the node			
cooling-LETM_AC-TS;vessel-stray-light-baffle-system;functional-dependency;part-of;part of the node							
cooling-LETM_AC-TS;cryosupply-tower;functional-dependency;part-of;part of the node	
cooling-LETM_AC-TS;thermal-shields-tower;functional-dependency;part-of;part of the node	
cooling-LETM_AC-TS;cryopanels-tower;functional-dependency;part-of;part of the node

cooling-LITM_AC-AS;filter-0;functional-dependency;part-of;part of the node	
cooling-LITM_AC-AS;standard-filter;functional-dependency;part-of;part of the node	
cooling-LITM_AC-AS;payload-interface-filter;functional-dependency;part-of;part of the node	
cooling-LITM_AC-AS;Mu-metal-sheath;functional-dependency;part-of;part of the node			
cooling-LITM_AC-AS;vessel-stray-light-baffle-system;functional-dependency;part-of;part of the node				
cooling-LITM_AC-AS;cryosupply-arm;functional-dependency;part-of;part of the node	
cooling-LITM_AC-AS;thermal-shields-arm;functional-dependency;part-of;part of the node	
cooling-LITM_AC-AS;cryopanels-arm;functional-dependency;part-of;part of the node	

cooling-LITM_AC-TS;filter-0;functional-dependency;part-of;part of the node	
cooling-LITM_AC-TS;standard-filter;functional-dependency;part-of;part of the node					
cooling-LITM_AC-TS;blade-springs;functional-dependency;part-of;part of the node	
cooling-LITM_AC-TS;suspension-wires;functional-dependency;part-of;part of the node									
cooling-LITM_AC-TS;linear-accelerometers;functional-dependency;part-of;part of the node	
cooling-LITM_AC-TS;inertial-rotation;functional-dependency;part-of;part of the node		
cooling-LITM_AC-TS;optical-substrate;functional-dependency;part-of;part of the node	
cooling-LITM_AC-TS;Mu-metal-sheath;functional-dependency;part-of;part of the node		

cooling-LITM_AB-AS;filter-0;functional-dependency;part-of;part of the node	
cooling-LITM_AB-AS;standard-filter;functional-dependency;part-of;part of the node	
cooling-LITM_AB-AS;payload-interface-filter;functional-dependency;part-of;part of the node
cooling-LITM_AB-AS;Mu-metal-sheath;functional-dependency;part-of;part of the node			
cooling-LITM_AB-AS;vessel-stray-light-baffle-system;functional-dependency;part-of;part of the node				
cooling-LITM_AB-AS;cryosupply-arm;functional-dependency;part-of;part of the node	
cooling-LITM_AB-AS;thermal-shields-arm;functional-dependency;part-of;part of the node	
cooling-LITM_AB-AS;cryopanels-arm;functional-dependency;part-of;part of the node	

cooling-LITM_AB-TS;filter-0;functional-dependency;part-of;part of the node	
cooling-LITM_AB-TS;standard-filter;functional-dependency;part-of;part of the node	
cooling-LITM_AB-TS;payload-interface-filter;functional-dependency;part-of;part of the node
cooling-LITM_AB-TS;Mu-metal-sheath;functional-dependency;part-of;part of the node			
cooling-LITM_AB-TS;vessel-stray-light-baffle-system;functional-dependency;part-of;part of the node							
cooling-LITM_AB-TS;cryosupply-tower;functional-dependency;part-of;part of the node	
cooling-LITM_AB-TS;thermal-shields-tower;functional-dependency;part-of;part of the node	
cooling-LITM_AB-TS;cryopanels-tower;functional-dependency;part-of;part of the node

cooling-laser-measure;filter-0;functional-dependency;part-of;part of the node	
cooling-laser-measure;standard-filter;functional-dependency;part-of;part of the node	
cooling-laser-measure;payload-interface-filter;functional-dependency;part-of;part of the node
cooling-laser-measure;Mu-metal-sheath;functional-dependency;part-of;part of the node

cooling-laser-input;filter-0;functional-dependency;part-of;part of the node	
cooling-laser-input;standard-filter;functional-dependency;part-of;part of the node	
cooling-laser-input;payload-interface-filter;functional-dependency;part-of;part of the node
cooling-laser-input;Mu-metal-sheath;functional-dependency;part-of;part of the node	

PSL;filter-0;functional-dependency;part-of;part of the node	
PSL;standard-filter;functional-dependency;part-of;part of the node	
PSL;payload-interface-filter;functional-dependency;part-of;part of the node
PSL;Mu-metal-sheath;functional-dependency;part-of;part of the node	

filter-0;Suspension-chain;functional-dependency;works-on;0
standard-filter;Suspension-chain;functional-dependency;works-on;0
payload-interface-filter;Suspension-chain;functional-dependency;works-on;0
inductive-s-a;LF-control-noise;functional-dependency;works-on;0
fishing-rods;Suspension-chain;functional-dependency;works-on;0
low-noise-position-s-a;LF-control-noise;functional-dependency;works-on;0
blade-springs;Suspension-chain;functional-dependency;works-on;0
suspension-wires;Suspension-chain;functional-dependency;works-on;0
TM-heads-anchors;Test-mass-suspension;functional-dependency;works-on;0
TM-fibers;Test-mass-suspension;functional-dependency;works-on;0
TM-interfaces-ears;Test-mass-suspension;functional-dependency;works-on;0
active-vibration-isolator;Seismic-isolation-platform;functional-dependency;works-on;0
inverted-pendulum;Seismic-isolation-platform;functional-dependency;works-on;0
inductive;LF-control-noise;functional-dependency;works-on;0
low-noise-position;LF-control-noise;functional-dependency;works-on;0
linear-accelerometers;LF-control-noise;functional-dependency;works-on;0
inertial-rotation;LF-control-noise;functional-dependency;works-on;0
optical-substrate;Core-optics-LF;functional-dependency;works-on;0
platform-vertical-anti-spring-system;Seismic-isolation-platform;functional-dependency;works-on;0
on-board-soft-cooling-links;Cryostats-and-cryopumps;functional-dependency;works-on;0
soft-heat-links;Cryostats-and-cryopumps;functional-dependency;works-on;0
ancillary-vibration-attenuator;Seismic-isolation-platform;functional-dependency;works-on;0
payload-on-board-soft-thermal-links;Cryostats-and-cryopumps;functional-dependency;works-on;0
cryocompatible-inductive-actuators;LF-control-noise;functional-dependency;works-on;0
scattered-light-ITM-payload-baffles;Scattered-light;functional-dependency;works-on;0
penultimate-mass-cryogenic-suspension;Suspension-chain;functional-dependency;works-on;0
cryocompatible-DC-tilt-motors;Core-optics-LF;functional-dependency;works-on;0
cage-to-platform-suspension-system;Suspension-chain;functional-dependency;works-on;0
actuation-cage;Suspension-chain;functional-dependency;works-on;0
inter-platform-optical-system;Inter-platform-motion;functional-dependency;works-on;0
cryogenic-payload-safety-structure;Cryostats-and-cryopumps;functional-dependency;works-on;0
wavefront-sensing-control-system;Optical-layout-sensing-and-control-scheme-LF;functional-dependency;works-on;0
data-acquisition;Optical-layout-sensing-and-control-scheme-LF;functional-dependency;works-on;0
vessel-rings;Tower-vaccuum;functional-dependency;works-on;0
vessel-cupola;Tower-vaccuum;functional-dependency;works-on;0
rough-pumping-system;Tower-vaccuum;functional-dependency;works-on;0
intermediate-pumping-system;Tower-vaccuum;functional-dependency;works-on;0
continuous-pumping-system;Tower-vaccuum;functional-dependency;works-on;0
cryostat-vessel;Cryostats-and-cryopumps;functional-dependency;works-on;0
Mu-metal-sheath;Magnetic-noise;functional-dependency;works-on;0
cryosupply;Cryostats-and-cryopumps;functional-dependency;works-on;0
thermal-shields;Cryostats-and-cryopumps;functional-dependency;works-on;0
vessel-stray-light-baffle-system;Scattered-light;functional-dependency;works-on;0
dust-monitoring-system;Tower-vaccuum;functional-dependency;works-on;0
temperature-monitoring-system;Cryostats-and-cryopumps;functional-dependency;works-on;0
vibration-monitoring-system;LF-control-noise;functional-dependency;works-on;0
cryosupply-arm;Cryostats-and-cryopumps;functional-dependency;works-on;0
thermal-shields-arm;Cryostats-and-cryopumps;functional-dependency;works-on;0
cryopanels-arm;Cryostats-and-cryopumps;functional-dependency;works-on;0
cryosupply-tower;Cryostats-and-cryopumps;functional-dependency;works-on;0
thermal-shields-tower;Cryostats-and-cryopumps;functional-dependency;works-on;0
cryopanels-tower;Cryostats-and-cryopumps;functional-dependency;works-on;0

